2023-05-15 18:05:169 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (2fa7f63fe4a17871104253d590ab2f1b)] -> xpath: //h4/a]]
2023-05-15 18:05:571 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-15 18:05:53 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> link text: Desktops]
2023-05-15 18:05:144 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-15 18:05:93 INFO  HomePage :74 - Select £ Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-15 18:05:67 INFO  DesktopPage :60 - Select Name (Z - A) to sort by [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> id: input-sort]
2023-05-15 18:05:89 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a]]
2023-05-15 18:05:240 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a]]
2023-05-15 18:05:392 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1209bd75f618e2889382beb85b9e4153)] -> xpath: //h4/a]]
2023-05-15 18:05:150 INFO  ManageBrowser :28 - Opening browser Chrome 
